edad,empleo,estado,educacion,impago,hipoteca,prestamo,tipo_contacto,mes,dia_semana,contactos_actual,contactos_anterior,resultado_anterior,tasa_var_empleo_3m,euribor_3m,ipc_1m,target
41,management,married,basic.6y,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,yes
34,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
45,services,married,professional.course,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,management,married,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
37,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
54,services,married,unknown,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
54,services,married,unknown,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
43,services,single,high.school,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
35,services,divorced,high.school,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
37,management,married,university.degree,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
36,blue-collar,married,high.school,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,admin.,married,unknown,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
41,services,married,high.school,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
45,technician,married,high.school,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
50,admin.,married,basic.6y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,retired,married,basic.4y,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,yes
37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
41,technician,married,professional.course,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
52,management,married,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,management,divorced,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
34,services,married,high.school,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,yes
43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,management,married,unknown,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
35,admin.,single,high.school,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
43,technician,single,professional.course,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
59,services,married,high.school,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
24,management,single,university.degree,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
39,services,divorced,high.school,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
38,services,married,high.school,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
40,blue-collar,married,unknown,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
36,services,married,high.school,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
45,technician,married,university.degree,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
43,services,married,high.school,no,no,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
46,management,married,basic.9y,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
44,services,married,high.school,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
51,admin.,single,basic.6y,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
28,services,married,high.school,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
34,technician,married,high.school,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,yes
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
57,management,married,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
54,retired,married,high.school,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
34,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
41,technician,married,professional.course,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
45,management,divorced,university.degree,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
42,technician,married,university.degree,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
33,services,married,high.school,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
32,services,single,basic.6y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
43,admin.,married,unknown,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
35,student,single,university.degree,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
35,unemployed,married,professional.course,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
36,services,single,basic.4y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
35,student,single,university.degree,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
36,student,single,basic.9y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
59,admin.,married,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
57,retired,married,unknown,unknown,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,services,married,high.school,no,no,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
43,technician,married,unknown,unknown,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,technician,married,basic.9y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
58,retired,married,university.degree,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
42,technician,married,university.degree,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
35,admin.,single,university.degree,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
39,admin.,married,professional.course,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
50,services,divorced,professional.course,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
39,admin.,married,high.school,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
48,admin.,married,high.school,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
33,services,married,high.school,unknown,no,yes,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
43,management,married,university.degree,unknown,no,yes,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
57,retired,married,high.school,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
36,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
34,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
34,services,single,basic.9y,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
30,technician,married,university.degree,unknown,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
33,services,divorced,unknown,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
32,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
36,technician,single,high.school,no,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
33,services,single,high.school,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
40,technician,divorced,professional.course,no,no,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
51,services,married,basic.6y,no,yes,no,telephone,may,mon,1,0,nonexistent,1.1,4.857,93.994,no
36,technician,married,professional.course,no,yes,no,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
28,services,married,unknown,no,no,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
53,services,married,high.school,no,yes,yes,telephone,may,mon,3,0,nonexistent,1.1,4.857,93.994,no
58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,2,0,nonexistent,1.1,4.857,93.994,no
